loci,chi^2,df,Pr(chi^2 >),Pr.exact
56073:65:+,22.7590104,1,1.84E-06,0
56073:75:+,40.25856134,1,2.22E-10,0
56073:111:+,22.87439745,1,1.73E-06,0
56073:112:+,50.14108796,1,1.43E-12,0
56215:108:+,14.53590146,1,0.000137514,0.001
56215:136:+,12.45367403,1,0.00041717,0
56215:219:+,12.95222938,1,0.000319541,0
56215:274:+,16.71817169,1,4.34E-05,0
56215:316:+,9.766661639,1,0.001777048,0.006
56383:38:+,2.783945022,1,0.095213375,0.159
56383:151:+,0.151536776,1,0.697071065,0.708
56383:165:+,9.109633965,1,0.002542667,0.005
56720:93:-,29.48227162,1,5.64E-08,0.001
56720:133:-,14.62789316,1,0.000130962,0.001
56720:297:-,48.50710528,1,3.29E-12,0
56720:307:-,33.12669416,1,8.63E-09,0
56720:308:-,14.81434205,1,0.00011863,0.004
56720:342:-,38.39937337,1,5.77E-10,0
57273:7:-,22.9764524,1,1.64E-06,0
57273:12:-,11.56503982,1,0.000672035,0.001
57273:25:-,15.25211876,1,9.41E-05,0.006
57273:37:-,15.25211876,1,9.41E-05,0.008
57273:62:-,56.8806011,1,4.63E-14,0
57338:9:+,79.89530895,1,0,0
57338:11:+,34.4102527,1,4.46E-09,0
57338:20:+,44.15978216,1,3.03E-11,0
57338:48:+,66.48373961,1,3.33E-16,0
57338:77:+,54.17607157,1,1.83E-13,0
57338:83:+,6.107904968,1,0.013457856,0.022
57338:103:+,0.249795918,1,0.617218814,0.622
57338:156:+,80.51276546,1,0,0
57338:201:+,5.68927038,1,0.01706895,0.025
57459:8:-,34.6369148,1,3.97E-09,0
57459:37:-,109.3988668,1,0,0
57459:92:-,91.32143941,1,0,0
59175:239:-,60.51080419,1,7.33E-15,0
59241:39:+,2.605937819,1,0.106464161,0.124
59241:75:+,1.450631488,1,0.228426652,0.212
59241:176:+,0.409280469,1,0.522334937,0.536
59241:191:+,4.340210274,1,0.037222326,0.055
59349:90:+,50.16138651,1,1.42E-12,0
59349:95:+,16.59444508,1,4.63E-05,0
59349:125:+,50.16138651,1,1.42E-12,0
59349:266:+,48.37583059,1,3.52E-12,0
59363:78:+,67.50439024,1,2.22E-16,0
59363:266:+,21.15202233,1,4.24E-06,0
59363:362:+,12.99215667,1,0.000312798,0.001
59384:180:-,0.311713525,1,0.576630596,0.619
59384:228:-,15.03186777,1,0.000105711,0
59408:36:-,0.552973524,1,0.457105253,0.435
59408:40:-,0.201543557,1,0.653477806,0.658
59408:73:-,2.787555556,1,0.094999041,0.091
59408:212:-,28.79853934,1,8.03E-08,0
59418:91:-,1.844192896,1,0.174460308,0.185
59418:139:-,23.19820041,1,1.46E-06,0
59440:49:+,7.75342874,1,0.005361066,0.003
59440:103:+,0.714870877,1,0.397831526,0.405
59482:16:-,15.95571681,1,6.48E-05,0.002
59482:260:-,15.13186302,1,0.000100257,0.001
59487:99:-,55.27676656,1,1.05E-13,0
61505:40:+,66.59239529,1,3.33E-16,0
61505:43:+,121.4595982,1,0,0
61505:85:+,155.2202295,1,0,0
61505:109:+,108.0302119,1,0,0
61505:120:+,130.4682787,1,0,0
61505:139:+,79.97008449,1,0,0
61513:32:-,55.46353926,1,9.53E-14,0
61513:80:-,39.38581832,1,3.48E-10,0
61513:114:-,49.24666163,1,2.26E-12,0
61513:119:-,73.02279943,1,0,0
61513:126:-,39.56259348,1,3.18E-10,0
61513:131:-,73.02279943,1,0,0
61589:19:+,124.5127538,1,0,0
61589:25:+,100.8511409,1,0,0
61589:33:+,105.3729076,1,0,0
61589:243:+,199.5600828,1,0,0
61589:314:+,101.2900063,1,0,0
61800:39:+,113.8963688,1,0,0
61800:49:+,147.2944373,1,0,0
61800:58:+,76.67537953,1,0,0
61800:73:+,163.0114242,1,0,0
61800:89:+,182.7296388,1,0,0
61800:100:+,115.0632714,1,0,0
61800:232:+,112.3224132,1,0,0
61800:327:+,176.5925654,1,0,0
61800:338:+,95.86259299,1,0,0
62079:77:+,102.9045956,1,0,0
62274:9:+,101.5738407,1,0,0
62274:16:+,59.47365888,1,1.24E-14,0
62274:58:+,33.3228269,1,7.81E-09,0
62274:74:+,64.42035399,1,9.99E-16,0
62274:120:+,49.42673232,1,2.06E-12,0
62274:130:+,43.86877747,1,3.51E-11,0
62274:140:+,49.81842375,1,1.69E-12,0
62346:48:+,113.7824018,1,0,0
62346:56:+,126.5610737,1,0,0
62346:61:+,76.91290528,1,0,0
62346:64:+,74.78605278,1,0,0
62346:81:+,68.3718546,1,1.11E-16,0
62346:119:+,30.12288043,1,4.06E-08,0
62346:259:+,136.3475623,1,0,0
62346:300:+,96.93282542,1,0,0
62346:331:+,90.68423529,1,0,0
62578:16:+,84.81818847,1,0,0
62578:23:+,35.59789352,1,2.43E-09,0
62578:74:+,38.42788834,1,5.68E-10,0
62578:97:+,25.50978614,1,4.40E-07,0
62824:43:-,52.75556549,1,3.78E-13,0
62824:47:-,99.57217844,1,0,0
62824:52:-,39.51297345,1,3.26E-10,0
62824:56:-,72.51524375,1,0,0
62824:82:-,101.0372422,1,0,0
62824:84:-,101.7549598,1,0,0
62824:94:-,67.93199979,1,2.22E-16,0
62824:105:-,30.6242778,1,3.13E-08,0
62824:126:-,14.62072792,1,0.000131461,0.001
62824:129:-,67.93199979,1,2.22E-16,0
62824:187:-,246.587986,1,0,0
62824:194:-,61.25415971,1,5.00E-15,0
62824:220:-,63.85050616,1,1.33E-15,0
62824:249:-,62.54161218,1,2.55E-15,0
62824:253:-,58.15634708,1,2.42E-14,0
62824:274:-,69.08271575,1,1.11E-16,0
62824:277:-,63.85050616,1,1.33E-15,0
63307:7:+,55.27020171,1,1.05E-13,0
63307:30:+,23.71488991,1,1.12E-06,0
63307:50:+,14.38344835,1,0.000149107,0.004
63307:87:+,14.3186706,1,0.000154327,0.004
63424:10:+,34.13586808,1,5.14E-09,0
63424:36:+,18.01230609,1,2.19E-05,0
63424:63:+,34.13586808,1,5.14E-09,0
63424:101:+,53.53999933,1,2.53E-13,0
63424:110:+,14.44316997,1,0.000144453,0
64678:15:-,38.43124808,1,5.67E-10,0
64678:52:-,39.26201512,1,3.71E-10,0
64678:71:-,28.25302155,1,1.06E-07,0
64678:111:-,45.87150314,1,1.26E-11,0
64678:113:-,55.53857185,1,9.16E-14,0
64767:19:-,42.18347031,1,8.31E-11,0
64767:45:-,38.79740128,1,4.70E-10,0
64767:70:-,53.86010936,1,2.15E-13,0
64767:107:-,22.78666476,1,1.81E-06,0
64767:108:-,23.51028775,1,1.24E-06,0
64767:121:-,68.43978099,1,1.11E-16,0
65001:61:+,44.74201126,1,2.25E-11,0
65001:74:+,39.71639189,1,2.94E-10,0
65007:11:+,57.82273102,1,2.86E-14,0
65007:112:+,50.01846235,1,1.52E-12,0
65242:118:-,61.54018743,1,4.33E-15,0
65242:133:-,146.5978809,1,0,0
65424:35:-,62.06522383,1,3.33E-15,0
65424:51:-,103.9155401,1,0,0
65424:59:-,103.9155401,1,0,0
65424:98:-,85.5226521,1,0,0
65544:53:+,56.11488145,1,6.84E-14,0
65544:93:+,0.016135701,1,0.898919521,0.59
65544:97:+,9.512224206,1,0.002041076,0.002
65544:105:+,13.50316035,1,0.000238162,0.007
65544:120:+,9.25860482,1,0.002343915,0.008
65544:140:+,4.043396604,1,0.044344485,0.071
65544:182:+,3.837273746,1,0.050124961,0.072
65544:190:+,64.91945707,1,7.77E-16,0
65544:214:+,4.779874906,1,0.028794212,0.053
65671:28:-,1.538338545,1,0.214865279,0.214
65671:47:-,2.01E-05,1,0.99642399,1
65671:179:-,9.892721365,1,0.001659338,0.002
65671:188:-,3.092466616,1,0.078655494,0.082
65671:210:-,9.590884565,1,0.001955457,0.003
65671:287:-,8.121622205,1,0.00437404,0.013
65709:19:+,35.96378955,1,2.01E-09,0
65709:95:+,37.94460328,1,7.28E-10,0
65709:139:+,20.3061334,1,6.60E-06,0.001
65710:12:-,12.01151255,1,0.000528729,0
65710:29:-,18.07147557,1,2.13E-05,0
65710:31:-,36.32569394,1,1.67E-09,0
65710:68:-,8.187618147,1,0.004217726,0.011
65710:111:-,16.55644717,1,4.72E-05,0
66024:7:-,70.10555496,1,1.11E-16,0
66024:10:-,70.10555496,1,1.11E-16,0
66024:85:-,53.40520181,1,2.71E-13,0
66024:99:-,70.10555496,1,1.11E-16,0
66218:75:+,58.16505228,1,2.41E-14,0
66218:108:+,24.41509951,1,7.77E-07,0
66218:110:+,52.03969033,1,5.44E-13,0
66218:126:+,61.18489013,1,5.22E-15,0
66218:138:+,76.95574428,1,0,0
66224:49:-,8.095078174,1,0.004438562,0.005
66224:76:-,8.269378955,1,0.00403193,0.006
66224:120:-,18.23526833,1,1.95E-05,0
66224:121:-,12.75681633,1,0.000354714,0
66249:82:+,80.9090258,1,0,0
66249:101:+,70.59363096,1,0,0
66249:166:+,35.55659109,1,2.48E-09,0
66270:200:-,86.84454578,1,0,0
66270:210:-,48.15263927,1,3.94E-12,0
66270:232:-,70.56593479,1,0,0
66286:7:+,37.47540375,1,9.26E-10,0
66286:14:+,37.47540375,1,9.26E-10,0
66286:37:+,47.23284085,1,6.30E-12,0
66286:48:+,30.70621137,1,3.00E-08,0
66286:79:+,30.70621137,1,3.00E-08,0
66381:7:+,7.089567378,1,0.007753396,0.015
66381:26:+,14.34137518,1,0.000152477,0
66381:57:+,7.089567378,1,0.007753396,0.01
66381:58:+,23.42360254,1,1.30E-06,0
66381:119:+,19.76836685,1,8.74E-06,0
66424:9:-,36.10321557,1,1.87E-09,0
66424:74:-,37.83343999,1,7.70E-10,0
66424:85:-,30.78611679,1,2.88E-08,0
66454:92:+,4.276941292,1,0.03863281,0.051
66454:121:+,10.60576053,1,0.001127359,0.002
66454:161:+,15.48337517,1,8.32E-05,0
66471:10:-,27.94779835,1,1.25E-07,0
66471:15:-,26.73251252,1,2.34E-07,0
66471:51:-,25.44983426,1,4.54E-07,0
66471:84:-,26.2671931,1,2.97E-07,0
66471:107:-,16.09433932,1,6.03E-05,0.002
66500:94:-,25.58145188,1,4.24E-07,0
66500:267:-,67.07658468,1,2.22E-16,0
66502:33:+,28.22712131,1,1.08E-07,0.001
66502:53:+,32.36186164,1,1.28E-08,0
66502:93:+,34.67906034,1,3.89E-09,0
66507:31:+,11.97716587,1,0.000538564,0.003
66507:34:+,12.9415435,1,0.00032137,0.001
66507:79:+,4.020663676,1,0.044946023,0.048
66507:83:+,11.73448865,1,0.000613524,0.007
66507:133:+,11.97716587,1,0.000538564,0.004
66552:39:+,19.90323803,1,8.15E-06,0
66559:65:+,23.70967408,1,1.12E-06,0
66559:218:+,31.28769834,1,2.22E-08,0
66571:49:-,18.87996597,1,1.39E-05,0
66571:108:-,14.01588414,1,0.000181273,0
67910:99:+,1.290153709,1,0.256019626,0.602
68566:10:+,103.6563662,1,0,0
68566:18:+,103.6563662,1,0,0
68566:26:+,103.6563662,1,0,0
68566:27:+,96.32241059,1,0,0
68566:45:+,103.6563662,1,0,0
68566:100:+,103.6563662,1,0,0
68566:255:+,113.0015752,1,0,0
68566:268:+,110.6645197,1,0,0
68566:272:+,115.9893715,1,0,0
68566:278:+,113.0015752,1,0,0
68566:279:+,52.95364396,1,3.42E-13,0
68566:289:+,111.8943101,1,0,0
69451:34:+,49.73660596,1,1.76E-12,0
69451:67:+,51.95314273,1,5.68E-13,0
69713:57:-,10.8949681,1,0.000964258,0.003
69713:64:-,1.878945457,1,0.170454052,0.168
69713:76:-,6.617712418,1,0.010096944,0.013
69713:152:-,13.61819656,1,0.000224004,0
69713:164:-,15.25882734,1,9.37E-05,0.001
69713:191:-,3.932005563,1,0.047375413,0.048
70518:55:+,141.3339024,1,0,0
70518:102:+,81.84187333,1,0,0
70518:103:+,108.0404341,1,0,0
70518:106:+,84.59699432,1,0,0
70518:176:+,78.92223206,1,0,0
70518:195:+,83.82030752,1,0,0
70587:6:+,11.34472715,1,0.000756625,0.002
70587:8:+,12.67605634,1,0.000370368,0
70587:23:+,6.020413306,1,0.014141335,0.022
70587:30:+,6.020413306,1,0.014141335,0.024
70587:114:+,62.21806082,1,3.11E-15,0
70660:41:-,61.01661275,1,5.66E-15,0
70660:50:-,76.51399799,1,0,0
70660:54:-,94.4670507,1,0,0
70660:212:-,48.61901779,1,3.11E-12,0
70660:250:-,101.6448559,1,0,0
70770:35:-,8.967718063,1,0.002747916,0.005
70770:121:-,10.17666051,1,0.001422296,0
70770:172:-,3.82734815,1,0.050422649,0.049
70770:188:-,135.8511193,1,0,0
70770:216:-,41.9123792,1,9.55E-11,0
70833:21:+,76.9359976,1,0,0
70833:33:+,94.71239204,1,0,0
70833:41:+,79.4976,1,0,0
70833:54:+,69.03421235,1,1.11E-16,0
70833:122:+,76.57924922,1,0,0
70833:230:+,89.36150341,1,0,0
70833:276:+,75.86605077,1,0,0
70833:326:+,76.21929565,1,0,0
70863:63:+,37.21107763,1,1.06E-09,0
70863:110:+,52.91542958,1,3.48E-13,0
70863:140:+,35.91086389,1,2.07E-09,0
70906:11:-,57.85164507,1,2.83E-14,0
70906:46:-,57.60545614,1,3.21E-14,0
70906:54:-,104.2499963,1,0,0
70906:72:-,98.22584988,1,0,0
70906:119:-,65.7665284,1,5.55E-16,0
70906:128:-,104.4304972,1,0,0
70910:15:+,23.07972578,1,1.55E-06,0
70910:21:+,23.28339524,1,1.40E-06,0
70910:27:+,23.28339524,1,1.40E-06,0
70910:77:+,24.0003458,1,9.63E-07,0
70910:129:+,24.73251789,1,6.59E-07,0
70916:25:+,22.27471235,1,2.36E-06,0
70916:34:+,22.27471235,1,2.36E-06,0
70966:55:+,16.70915326,1,4.36E-05,0
70966:66:+,16.70915326,1,4.36E-05,0.001
70966:76:+,3.623529698,1,0.056967888,0.075
70966:80:+,68.11035622,1,1.11E-16,0
70966:105:+,16.70915326,1,4.36E-05,0.001
70966:126:+,10.87823387,1,0.00097301,0.001
70966:134:+,16.70915326,1,4.36E-05,0
70966:188:+,16.168273,1,5.80E-05,0
70966:202:+,16.26453834,1,5.51E-05,0
70966:219:+,18.33869041,1,1.85E-05,0
70966:287:+,16.26453834,1,5.51E-05,0.001
70966:299:+,16.26453834,1,5.51E-05,0
70968:7:+,40.9366339,1,1.57E-10,0
70968:59:+,52.10472628,1,5.26E-13,0
70968:71:+,38.21482437,1,6.34E-10,0
70968:98:+,20.87082707,1,4.91E-06,0.001
71011:19:+,27.52248068,1,1.55E-07,0
71011:46:+,44.64525587,1,2.36E-11,0
71011:48:+,26.46385841,1,2.69E-07,0
71011:72:+,45.88608682,1,1.25E-11,0
71011:129:+,19.8752792,1,8.27E-06,0
71011:130:+,36.28395324,1,1.71E-09,0
71011:201:+,33.53268531,1,7.01E-09,0
71011:221:+,41.66160908,1,1.09E-10,0
71011:223:+,29.93900629,1,4.46E-08,0
71295:115:-,109.1748551,1,0,0
71295:284:-,88.00996289,1,0,0
71295:310:-,73.26335296,1,0,0
71307:114:+,12.12718087,1,0.000496922,0.002
71315:6:-,3.084275945,1,0.079052442,0.093
71315:33:-,3.793211631,1,0.051460819,0.042
71315:55:-,32.32099394,1,1.31E-08,0
71315:76:-,3.793211631,1,0.051460819,0.055
71315:97:-,18.12629276,1,2.07E-05,0.001
71315:127:-,6.962941947,1,0.008321509,0.032
71315:130:-,3.793211631,1,0.051460819,0.046
71315:214:-,42.25189813,1,8.02E-11,0
71315:236:-,19.66811013,1,9.21E-06,0
71326:42:-,6.00393689,1,0.014273992,0.04
71326:131:-,22.64394227,1,1.95E-06,0
71326:280:-,9.240363558,1,0.002367379,0.002
71352:11:+,3.100652208,1,0.078260935,0.084
71352:29:+,7.502533092,1,0.006161227,0.01
71352:32:+,14.63242835,1,0.000130647,0
71352:68:+,15.78840804,1,7.08E-05,0
71405:82:+,53.98219621,1,2.02E-13,0
71405:91:+,55.15622142,1,1.11E-13,0
71405:105:+,28.01410935,1,1.20E-07,0
71405:130:+,53.25238081,1,2.93E-13,0
71405:138:+,53.25238081,1,2.93E-13,0
71449:78:-,4.413128224,1,0.035663385,0.085
71449:210:-,15.11555603,1,0.000101127,0.003
71537:57:+,61.40800988,1,4.66E-15,0
71537:249:+,17.45950637,1,2.93E-05,0
71595:243:-,0.610914588,1,0.434443659,0.506
71631:19:+,2.236214431,1,0.134810667,0.15
71631:40:+,2.727272727,1,0.09864761,0.13
71631:118:+,2.260269769,1,0.132730938,0.145
71631:130:+,2.460913699,1,0.116710874,0.128
71631:217:+,61.56235959,1,4.33E-15,0
71814:16:+,23.8598219,1,1.04E-06,0.002
71814:37:+,5.748379925,1,0.01650387,0.03
71814:54:+,3.172548119,1,0.074885529,0.068
71828:26:+,25.49734414,1,4.43E-07,0
71828:55:+,21.69623306,1,3.19E-06,0
71830:30:-,24.39328966,1,7.85E-07,0
71830:78:-,39.11946901,1,3.99E-10,0
71830:102:-,41.07831446,1,1.46E-10,0
71830:104:-,45.78832713,1,1.32E-11,0
71830:114:-,30.33546658,1,3.63E-08,0
71830:285:-,18.65493706,1,1.57E-05,0
71830:374:-,29.48369947,1,5.64E-08,0
72424:17:+,28.70616319,1,8.42E-08,0
72424:65:+,13.19931551,1,0.000280051,0
72424:104:+,89.3199869,1,0,0
72424:123:+,22.77667526,1,1.82E-06,0
72494:108:+,54.20550602,1,1.81E-13,0
72494:118:+,67.68725476,1,2.22E-16,0
72717:8:+,87.61833054,1,0,0
72717:14:+,87.61833054,1,0,0
72717:83:+,98.54794615,1,0,0
72717:121:+,81.76992701,1,0,0
72776:22:-,35.79442297,1,2.19E-09,0
72776:102:-,16.88736544,1,3.97E-05,0.003
72776:123:-,51.90749653,1,5.82E-13,0
72776:223:-,48.58181754,1,3.17E-12,0
72776:233:-,50.25260533,1,1.35E-12,0
72776:287:-,56.15038325,1,6.72E-14,0
72776:329:-,25.14003683,1,5.33E-07,0
72877:36:-,82.13632238,1,0,0
72877:63:-,46.27620384,1,1.03E-11,0
72877:69:-,94.92125619,1,0,0
72877:78:-,79.4649512,1,0,0
72877:93:-,59.85202397,1,1.02E-14,0
72996:15:-,30.94628382,1,2.65E-08,0
72996:68:-,22.66750997,1,1.93E-06,0
72996:98:-,3.970844517,1,0.046294549,0.071
72996:105:-,3.970844517,1,0.046294549,0.085
73064:29:+,18.15958771,1,2.03E-05,0.001
73064:32:+,14.17521406,1,0.00016655,0
73064:38:+,0.240989779,1,0.623492156,1
73064:56:+,14.63664458,1,0.000130355,0
73064:91:+,0.01259596,1,0.910639675,1
73064:126:+,16.02757423,1,6.24E-05,0
73064:250:+,18.14179109,1,2.05E-05,0
73064:272:+,17.84478591,1,2.40E-05,0
73064:311:+,13.54920972,1,0.000232389,0
73064:319:+,0.233890993,1,0.628653605,0.665
73269:7:-,61.43261778,1,4.55E-15,0
73269:42:-,47.00975217,1,7.06E-12,0
73269:109:-,43.8377173,1,3.57E-11,0
73311:10:-,135.0990803,1,0,0
73311:58:-,135.0990803,1,0,0
74450:10:+,1.897557399,1,0.168351979,0.192
74450:69:+,108.1307155,1,0,0
74450:81:+,77.37255399,1,0,0
74450:128:+,50.20034522,1,1.39E-12,0
74450:273:+,66.54975874,1,3.33E-16,0
74450:282:+,139.0900764,1,0,0
75701:48:-,16.56281542,1,4.71E-05,0.001
75911:104:+,55.91622277,1,7.56E-14,0
75936:119:+,61.99591437,1,3.44E-15,0
75936:130:+,54.80600229,1,1.33E-13,0
75936:202:+,61.88647438,1,3.66E-15,0
75936:247:+,73.07768203,1,0,0
75939:58:-,24.90961829,1,6.01E-07,0
75939:159:-,16.77614755,1,4.21E-05,0.001
76668:216:-,18.61324198,1,1.60E-05,0.001
76680:26:+,12.06227867,1,0.000514524,0.013
76680:43:+,13.1909086,1,0.00028131,0.009
76680:125:+,72.04923646,1,0,0
76680:194:+,9.078912486,1,0.002585738,0.016
76710:34:-,75.38180542,1,0,0
76710:58:-,19.90608741,1,8.13E-06,0
76710:62:-,69.14885108,1,1.11E-16,0
76710:64:-,22.81195682,1,1.79E-06,0
76710:74:-,7.390030601,1,0.006558637,0.01
76710:96:-,22.81195682,1,1.79E-06,0
76710:109:-,13.5239625,1,0.000235537,0.001
76783:17:+,4.696725711,1,0.030220137,0.024
76783:38:+,9.022092949,1,0.002667358,0.001
76783:81:+,0.000766869,1,0.97790748,1
76783:140:+,0.000766869,1,0.97790748,1
76783:177:+,22.25641545,1,2.39E-06,0
77379:52:-,26.53663289,1,2.59E-07,0
77379:86:-,15.18266751,1,9.76E-05,0.001
77379:87:-,1.446814912,1,0.229039715,0.231
77379:92:-,19.99246748,1,7.77E-06,0
77379:94:-,15.18266751,1,9.76E-05,0.002
77379:106:-,20.17418665,1,7.07E-06,0
77379:112:-,15.18266751,1,9.76E-05,0.003
77379:165:-,100.9565741,1,0,0
77379:187:-,33.34575675,1,7.71E-09,0
77379:199:-,113.1637088,1,0,0
77379:203:-,46.91598537,1,7.41E-12,0
77379:205:-,21.23513929,1,4.06E-06,0
77379:214:-,43.97397532,1,3.33E-11,0
77379:245:-,82.02931327,1,0,0
77379:267:-,49.30434783,1,2.19E-12,0
77379:287:-,80.12379065,1,0,0
77426:82:-,43.36550505,1,4.54E-11,0
77426:95:-,84.34176,1,0,0
77426:99:-,81.953806,1,0,0
77498:62:-,19.43514667,1,1.04E-05,0
77498:72:-,15.46325494,1,8.41E-05,0
77498:89:-,16.05421853,1,6.16E-05,0
77498:202:-,1.907953616,1,0.167190752,0.185
77498:310:-,15.32264598,1,9.06E-05,0.004
77526:12:-,108.9611197,1,0,0
77526:35:-,92.76125257,1,0,0
77526:39:-,102.189209,1,0,0
77526:64:-,122.6386168,1,0,0
77526:74:-,87.97000254,1,0,0
77526:95:-,108.414169,1,0,0
77526:103:-,88.69638757,1,0,0
77526:109:-,151.6865502,1,0,0
77526:132:-,107.9381169,1,0,0
78037:7:-,55.49920217,1,9.35E-14,0
78037:13:-,90.2747525,1,0,0
78037:23:-,29.49204471,1,5.61E-08,0
78037:32:-,58.8153666,1,1.73E-14,0
78037:50:-,61.54957729,1,4.33E-15,0
78037:62:-,62.87397515,1,2.22E-15,0
78037:90:-,78.61516163,1,0,0
78037:101:-,50.58712922,1,1.14E-12,0
78037:166:-,66.75669427,1,3.33E-16,0
78037:217:-,103.1087956,1,0,0
78037:228:-,92.01710618,1,0,0
78037:235:-,19.82186527,1,8.50E-06,0.001
78037:259:-,67.01834976,1,2.22E-16,0
78037:299:-,67.01834976,1,2.22E-16,0
78800:29:+,29.72878927,1,4.97E-08,0
78800:45:+,60.39868655,1,7.77E-15,0
78800:72:+,78.75116802,1,0,0
78800:92:+,29.34100651,1,6.07E-08,0
78800:309:+,37.03440657,1,1.16E-09,0
78917:489:-,67.84839291,1,2.22E-16,0
78958:6:-,16.58182854,1,4.66E-05,0
78958:24:-,22.56295917,1,2.03E-06,0
78958:34:-,54.52102661,1,1.54E-13,0
78958:37:-,55.28278476,1,1.04E-13,0
78958:40:-,13.35164901,1,0.000258195,0.002
79006:77:-,10.88571191,1,0.000969089,0.002
79006:98:-,9.454186679,1,0.002106677,0.011
79009:16:-,5.227738853,1,0.022229413,0.049
79009:31:-,7.828061761,1,0.005144123,0.008
79009:60:-,1.044551881,1,0.306765183,0.305
79009:93:-,10.08702868,1,0.001493167,0.001
79009:95:-,7.828061761,1,0.005144123,0.007
79009:96:-,4.908080838,1,0.026731326,0.06
79009:103:-,4.908080838,1,0.026731326,0.059
79010:12:+,6.620384138,1,0.010081809,0.014
79010:16:+,12.6691673,1,0.000371735,0.004
79010:61:+,22.19757182,1,2.46E-06,0
79010:62:+,11.10756424,1,0.000859763,0.001
79010:111:+,18.99796573,1,1.31E-05,0
79010:123:+,21.4163739,1,3.70E-06,0
79107:17:-,7.362480761,1,0.006659884,0.037
79107:30:-,1.485264066,1,0.222952723,0.229
79107:58:-,24.40457163,1,7.81E-07,0
79107:86:-,0.042090274,1,0.837447789,1
79107:107:-,47.49242624,1,5.52E-12,0
79107:112:-,26.37052782,1,2.82E-07,0
79107:122:-,31.26535501,1,2.25E-08,0
79731:45:+,2.139670686,1,0.1435327,0.151
79731:178:+,7.543928437,1,0.006021262,0.005
79731:209:+,6.330358618,1,0.011868832,0.038
79731:236:+,1.803736302,1,0.17926145,0.201
79848:60:+,53.80972353,1,2.21E-13,0
79848:63:+,56.31100993,1,6.18E-14,0
79848:69:+,54.9217831,1,1.25E-13,0
79848:79:+,27.38823778,1,1.66E-07,0
79848:107:+,33.89047252,1,5.83E-09,0
79848:118:+,57.65337215,1,3.13E-14,0
79848:119:+,25.66700199,1,4.06E-07,0
79848:122:+,56.29319854,1,6.24E-14,0
79956:15:-,13.37965645,1,0.000254368,0.006
79956:58:-,24.27083175,1,8.37E-07,0
79956:59:-,14.73804905,1,0.000123528,0.001
79956:136:-,31.08864642,1,2.47E-08,0
79956:216:-,20.41071174,1,6.25E-06,0
79956:235:-,46.52746702,1,9.03E-12,0
79956:257:-,119.3273305,1,0,0
79956:266:-,116.6364523,1,0,0
79956:272:-,30.89689068,1,2.72E-08,0
80254:63:-,114.1457146,1,0,0
80254:79:-,107.9111378,1,0,0
80470:21:+,15.30058824,1,9.17E-05,0
80470:33:+,97.42891145,1,0,0
80470:36:+,38.33307682,1,5.96E-10,0
80470:51:+,13.04859628,1,0.000303512,0.001
80470:53:+,103.4606489,1,0,0
80470:88:+,18.21942089,1,1.97E-05,0
80470:93:+,12.77552758,1,0.000351184,0.001
82543:25:+,2.873922236,1,0.090025227,0.099
82543:81:+,4.906694347,1,0.026752793,0.036
82543:89:+,208.1262376,1,0,0
82551:125:-,69.11173225,1,1.11E-16,0
82551:139:-,158.3461418,1,0,0
82551:159:-,8.280858558,1,0.004006518,0.011
82551:177:-,70.71313159,1,0,0
82551:192:-,20.79187636,1,5.12E-06,0
82551:208:-,113.0965878,1,0,0
82551:236:-,20.16801479,1,7.09E-06,0
82551:274:-,36.9685242,1,1.20E-09,0
82551:290:-,230.1380223,1,0,0
83052:17:-,62.56860531,1,2.55E-15,0
83052:57:-,58.14007805,1,2.44E-14,0
83052:90:-,45.57732334,1,1.47E-11,0
83052:119:-,21.71280658,1,3.17E-06,0
83052:120:-,64.78094176,1,8.88E-16,0
83216:9:+,13.26836491,1,0.000269923,0
83216:75:+,8.22440175,1,0.004133083,0.003
83216:108:+,0.950120705,1,0.329688575,0.312
83216:135:+,0.231978958,1,0.630060327,0.477
83216:171:+,3.131719624,1,0.076782709,0.094
83216:249:+,0.00397239,1,0.949745086,1
84429:20:-,11.1326047,1,0.000848234,0.001
84429:30:-,147.040455,1,0,0
84429:36:-,15.27531052,1,9.29E-05,0
84429:39:-,118.3424293,1,0,0
84429:90:-,16.09970998,1,6.01E-05,0
84429:133:-,118.8057235,1,0,0
85318:30:-,8.408704502,1,0.003734287,0.003
85318:53:-,14.3186706,1,0.000154327,0.001
85318:56:-,6.762378566,1,0.009309958,0.012
85318:86:-,18.0002549,1,2.21E-05,0
85318:99:-,5.130728083,1,0.023505866,0.051
85318:119:-,10.52966735,1,0.001174734,0.008
85318:132:-,19.06582012,1,1.26E-05,0.001
85318:288:-,89.29403781,1,0,0
85397:48:-,34.25098077,1,4.84E-09,0
85397:77:-,19.98438417,1,7.81E-06,0
85397:81:-,36.90001067,1,1.24E-09,0
85397:97:-,10.6916994,1,0.001076173,0.005
85397:102:-,69.31192774,1,1.11E-16,0
85397:104:-,74.59940822,1,0,0
85397:121:-,47.54847424,1,5.37E-12,0
85397:138:-,31.82238876,1,1.69E-08,0
86231:51:-,29.30617004,1,6.18E-08,0
86231:94:-,19.75971461,1,8.78E-06,0
86617:71:+,2.038367743,1,0.153374147,0.151
86617:119:+,10.65959861,1,0.001095012,0.007
86617:164:+,2.100467248,1,0.147254133,0.136
86618:21:-,0.004092508,1,0.948991954,1
